track_name,artist_name,album_name,track_url,track_popularity,track_duration_ms,album_release_date,track_preview_url
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Mercury - Acts 1 & 2,https://open.spotify.com/track/3CIyK1V4JEJkg02E4EJnDl,80,173381,2022-07-01,
Rise of the First Light,DEVIRIUM,Path of Light,https://open.spotify.com/track/5sE7UJ3R731OIcLPSNAM9R,3,311279,2025-10-18,
Through The Fire And Flames,DragonForce,Inhuman Rampage,https://open.spotify.com/track/1UMdbkqX19OiwfExH7gzYA,67,439120,2006-09-01,
California Dreamin',The Mamas & The Papas,All The Leaves Are Brown The Golden Era Collection,https://open.spotify.com/track/1ZEOIhSn6BKErV59bIgn76,74,160373,2001-08-28,
In the End,Linkin Park,Hybrid Theory (Bonus Edition),https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,90,216880,2000-10-24,
Nothing Else Matters - Remastered 2021,Metallica,Metallica (Remastered Deluxe Box Set),https://open.spotify.com/track/6QAsrXPnMSXIbV0yEJHlEX,83,388733,2021-09-10,
